,Driver,Year,Circuit,Compounds,StintLengths,Team,StartingPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
27,ALB,2020,Silverstone Circuit,"['MEDIUM', 'HARD', 'MEDIUM']","[6, 24, 22]",Red Bull Racing,12.0,21.29140625,44.16796874999999,998.40859375,0.0,40.6328125,217.0703125,3.1140625
28,ALB,2020,Nürburgring GP-Strecke Circuit,"['SOFT', 'MEDIUM']","[7, 16]",Red Bull Racing,5.0,9.499999999999998,59.40408163265305,947.3591836734694,0.0204081632653061,16.360204081632652,89.92857142857143,1.6173469387755104
29,ALB,2020,Autodromo Enzo e Dino Ferrari,"['SOFT', 'HARD', 'SOFT']","[14, 45, 4]",Red Bull Racing,6.0,18.0304,71.1368,1017.892,0.0,23.2608,89.896,1.3416
30,ALB,2020,Hungaroring Circuit,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[3, 31, 36]",Red Bull Racing,13.0,20.74179104477612,77.19253731343284,986.3149253731344,0.0149253731343283,27.129850746268666,105.61194029850746,1.5597014925373132
31,ALB,2020,Autodromo Nazionale Monza,"['SOFT', 'MEDIUM', 'HARD']","[22, 4, 27]",Red Bull Racing,9.0,28.090909090909093,40.12447552447553,990.7804195804194,0.0,41.201398601398594,180.7832167832168,1.520979020979021
32,ALB,2020,Algarve International Circuit,"['SOFT', 'MEDIUM', 'SOFT']","[19, 27, 19]",Red Bull Racing,6.0,20.50546875,67.528125,1007.340625,0.0,25.715625,133.4921875,4.040625
33,ALB,2020,Sochi Autodrom,"['SOFT', 'HARD', 'MEDIUM']","[1, 26, 26]",Red Bull Racing,15.0,28.80606060606061,51.36287878787879,1012.878787878788,0.0,40.34242424242424,229.58333333333331,1.428787878787879
34,ALB,2020,Bahrain International Circuit - 87 laps,"['MEDIUM', 'HARD', 'SOFT']","[47, 15, 25]",Red Bull Racing,12.0,20.947244094488195,58.169291338582674,1015.9417322834648,0.0,23.469291338582668,122.75590551181102,1.948031496062992
35,ALB,2020,Circuit de Barcelona-Catalunya,"['SOFT', 'HARD', 'MEDIUM']","[17, 22, 26]",Red Bull Racing,6.0,29.7968992248062,56.38449612403101,997.7038759689924,0.0,47.55581395348836,167.93023255813952,1.5449612403100776
36,ALB,2020,Red Bull Ring,"['SOFT', 'MEDIUM']","[35, 36]",Red Bull Racing,6.0,20.8225,34.005,945.91,0.0166666666666666,39.92,106.50833333333334,2.228333333333333
37,ALB,2020,Istanbul Park,"['WET', 'INTERMEDIATE', 'INTERMEDIATE']","[12, 22, 24]",Red Bull Racing,4.0,13.09568345323741,80.1611510791367,1008.496402877698,0.0431654676258992,15.205755395683456,215.14388489208636,1.0661870503597122
