Driver,Stint,Compound,StintLength,Team,StartingPosition,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,mean_brake_time,std_brake_time,AvgSpeed,StdSpeed,AvgSpeedDelta,StdSpeedDelta,AvgGearChanges,Year,Circuit
ALB,1.0,INTERMEDIATE,2,Williams,6.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,42.9475,6.6385000000000005,127.61904991521355,17.185173278009714,254.5,41.5,43.5,2025,Australian Grand Prix
ALB,2.0,INTERMEDIATE,1,Williams,6.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,44.829,0.0,116.20296818002457,0.0,212.0,0.0,49.0,2025,Australian Grand Prix
ALB,3.0,INTERMEDIATE,1,Williams,6.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,47.297,0.0,121.44877218715754,0.0,227.0,0.0,46.0,2025,Australian Grand Prix
ALB,4.0,INTERMEDIATE,29,Williams,6.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,22.305137931034487,6.885094864366057,195.90469332757786,21.15693911595753,235.38362067862067,15.580987371343612,41.241379310344826,2025,Australian Grand Prix
ALB,5.0,MEDIUM,11,Williams,6.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,31.648090909090914,8.203148934786018,166.2859543232897,30.574033477480388,238.1486364509091,31.268766998127806,47.90909090909091,2025,Australian Grand Prix
ALB,6.0,INTERMEDIATE,13,Williams,6.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,27.250153846153843,9.978202526940363,180.24248570522803,30.56879072886654,234.68426450823395,17.011408390501412,42.46153846153846,2025,Australian Grand Prix
ALO,1.0,INTERMEDIATE,2,Aston Martin,12.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,34.58,4.123999999999999,125.98592889494974,14.609607015842144,252.5,37.5,50.5,2025,Australian Grand Prix
ALO,2.0,INTERMEDIATE,1,Aston Martin,12.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,43.769,0.0,115.58151791141334,0.0,215.0,0.0,50.0,2025,Australian Grand Prix
ALO,3.0,INTERMEDIATE,1,Aston Martin,12.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,39.28,0.0,120.93637484856869,0.0,212.32999936,0.0,56.0,2025,Australian Grand Prix
ALO,4.0,INTERMEDIATE,29,Aston Martin,12.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,19.98755172413793,5.8436406435939015,197.0360652103779,20.59299618262628,237.58620689655172,16.23006414540899,41.89655172413793,2025,Australian Grand Prix
ANT,1.0,INTERMEDIATE,2,Mercedes,16.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,35.797000000000004,4.097000000000003,123.25990387301695,12.59291976492164,254.0,39.0,48.5,2025,Australian Grand Prix
ANT,2.0,INTERMEDIATE,1,Mercedes,16.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,33.491,0.0,113.55076594885533,0.0,231.0,0.0,40.0,2025,Australian Grand Prix
ANT,3.0,INTERMEDIATE,1,Mercedes,16.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,33.153000000000006,0.0,119.78679277074046,0.0,222.0,0.0,44.0,2025,Australian Grand Prix
ANT,4.0,INTERMEDIATE,29,Mercedes,16.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,18.726551724137934,5.458304729784393,196.37299605089527,20.773760575429243,242.7465516137931,19.549018685831207,38.03448275862069,2025,Australian Grand Prix
ANT,5.0,HARD,11,Mercedes,16.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,24.703454545454544,6.183552088383508,166.85701316241213,30.02444542856525,239.81315797762352,29.735650416572057,47.0,2025,Australian Grand Prix
ANT,6.0,INTERMEDIATE,13,Mercedes,16.0,0 days 01:28:38.324617977,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,242.2865168539326,3.475280898876404,20.616307692307693,6.054222155266971,181.92322696485581,31.51620147022456,238.94516633056446,19.740829013969645,41.53846153846154,2025,Australian Grand Prix
