Driver,Stint,Compound,StintLength,Team,StartingPosition,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,mean_brake_time,std_brake_time,AvgSpeed,StdSpeed,AvgSpeedDelta,StdSpeedDelta,AvgGearChanges,Year,Circuit
ALB,1.0,MEDIUM,18,Williams,20.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,17.452277777777777,2.0177981345338774,198.639865234785,8.092229868883214,230.05555555555554,18.88700971044567,31.61111111111111,2024,Spanish Grand Prix
ALB,2.0,SOFT,25,Williams,20.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,14.6292,1.4478627282998897,202.41126724087204,8.021158543034872,216.56,14.277478769026414,31.08,2024,Spanish Grand Prix
ALB,3.0,SOFT,22,Williams,20.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,14.652681818181815,1.4823014779347703,204.37995948619326,8.601552285136767,216.95454545454547,21.684676769819976,30.90909090909091,2024,Spanish Grand Prix
ALO,1.0,SOFT,19,Aston Martin,10.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,15.202684210526312,1.2380428975065774,200.94624032800456,4.870822913284155,227.31578947368422,16.026467028929453,39.421052631578945,2024,Spanish Grand Prix
ALO,2.0,MEDIUM,26,Aston Martin,10.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,14.267499999999997,1.2712579853769317,204.04825003638305,7.239430392271802,220.3846153846154,15.387499729618003,35.57692307692308,2024,Spanish Grand Prix
ALO,3.0,HARD,20,Aston Martin,10.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,13.7995,1.468061766411754,207.97007323930862,9.12162798986603,216.15,18.46151402241972,36.35,2024,Spanish Grand Prix
BOT,1.0,SOFT,11,Kick Sauber,12.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,19.84509090909091,2.6266578298994134,199.35565843958292,5.834943714724294,233.1818181818182,21.573629449012646,31.545454545454547,2024,Spanish Grand Prix
BOT,2.0,SOFT,17,Kick Sauber,12.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,16.804764705882352,2.276731830275498,201.16485838276034,9.01962523289242,220.8235294117647,18.34709559998577,32.05882352941177,2024,Spanish Grand Prix
BOT,3.0,HARD,37,Kick Sauber,12.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,15.786567567567563,1.318015964725944,204.0853784247993,6.633980966867042,217.64864864864865,13.831449116427967,32.86486486486486,2024,Spanish Grand Prix
GAS,1.0,SOFT,14,Alpine,7.0,0 days 01:16:51.052461038,24.132467532467533,63.44155844155844,1001.3564935064935,0.006493506493506494,41.096103896103905,207.37012987012986,2.1233766233766236,14.040357142857145,1.5499334827728604,202.7170783718097,4.697629523605493,223.0,22.440397246292868,32.357142857142854,2024,Spanish Grand Prix
