Driver,Stint,Compound,StintLength,Team,StartingPosition,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,mean_brake_time,std_brake_time,AvgSpeed,StdSpeed,AvgSpeedDelta,StdSpeedDelta,AvgGearChanges,Year,Circuit
ALB,1.0,SOFT,24,Red Bull Racing,4.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,31.999958333333336,35.407451685672946,212.75892664568997,38.04616787619988,185.46222702857145,100.64769323206926,25.416666666666668,2020,Austrian Grand Prix
ALB,2.0,HARD,25,Red Bull Racing,4.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,75.62324,14.593246175625218,225.0,0.0,0.0,0.0,1.0,2020,Austrian Grand Prix
ALB,3.0,SOFT,5,Red Bull Racing,4.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,108.4808,6.774046424405432,225.0,0.0,0.0,0.0,1.0,2020,Austrian Grand Prix
ALB,4.0,SOFT,9,Red Bull Racing,4.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,82.72688888888888,25.148332842664384,225.0,0.0,0.0,0.0,1.0,2020,Austrian Grand Prix
BOT,1.0,SOFT,24,Mercedes,1.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,14.416652173913041,4.736596949459149,213.94702565373848,42.47727854408241,222.98357599673977,45.32991671773687,33.708333333333336,2020,Austrian Grand Prix
BOT,2.0,HARD,30,Mercedes,1.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,18.001233333333335,8.546111387382894,195.07710253021963,42.09892542853931,217.9,33.50557167596657,36.266666666666666,2020,Austrian Grand Prix
BOT,3.0,HARD,14,Mercedes,1.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,15.615769230769233,5.94395198958049,187.75033533778517,43.127805767280904,212.86730756923077,26.907029189506794,30.923076923076923,2020,Austrian Grand Prix
GAS,1.0,MEDIUM,24,AlphaTauri,12.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,15.043541666666668,8.878541457634274,208.72094469496287,33.14908287055136,229.04166666666666,30.643758427378906,31.166666666666668,2020,Austrian Grand Prix
GAS,2.0,HARD,30,AlphaTauri,12.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,14.454166666666667,5.814476835642414,196.92476345743665,34.692560738312295,223.92935323256356,21.92507507432735,34.13333333333333,2020,Austrian Grand Prix
GAS,3.0,HARD,13,AlphaTauri,12.0,0 days 01:04:38.184825,28.684166666666666,33.8325,938.7708333333334,0.0,52.025,97.025,1.8875,17.72246153846154,12.37946596720295,183.38082534795893,38.86261921569496,231.23076923076923,45.69321418422222,43.69230769230769,2020,Austrian Grand Prix
