Driver,Stint,Compound,StintLength,Team,StartingPosition,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,mean_brake_time,std_brake_time,AvgSpeed,StdSpeed,AvgSpeedDelta,StdSpeedDelta,AvgGearChanges,Year,Circuit
ALB,1.0,SOFT,11,Williams,15.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,25.500454545454545,1.3962332680619578,189.81348678862014,4.977342259673726,264.0,13.823563545298626,45.72727272727273,2023,Bahrain Grand Prix
ALB,2.0,SOFT,15,Williams,15.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,23.205199999999998,1.5797575847789636,191.64123466832237,8.436665914678658,256.1333333333333,11.336470154133321,41.53333333333333,2023,Bahrain Grand Prix
ALB,3.0,HARD,14,Williams,15.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,23.80871428571428,2.4498553726574905,192.67455869534024,10.578188125525191,256.64285714285717,11.902023494570415,43.57142857142857,2023,Bahrain Grand Prix
ALB,4.0,SOFT,17,Williams,15.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,22.46523529411765,2.217090715048512,194.28810343237524,11.348632437346618,259.0,10.532861741738957,42.76470588235294,2023,Bahrain Grand Prix
ALO,1.0,SOFT,14,Aston Martin,5.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,21.26085714285714,1.4580322285847578,191.27842471747758,4.159191602384489,258.2142857142857,12.485297475880362,57.0,2023,Bahrain Grand Prix
ALO,2.0,HARD,20,Aston Martin,5.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,19.922650000000004,1.6523522407465059,194.9061829161686,8.106341895190681,253.7,10.38315944209661,52.4,2023,Bahrain Grand Prix
ALO,3.0,HARD,23,Aston Martin,5.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,19.46421739130435,1.6942508914490215,195.22195189498075,11.5142062116931,253.30434782608697,11.789585612840483,52.91304347826087,2023,Bahrain Grand Prix
BOT,1.0,SOFT,11,Alfa Romeo,12.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,24.07781818181818,1.7131835234801802,190.65660923982276,4.228767496607785,247.1818181818182,12.393680074341274,42.90909090909091,2023,Bahrain Grand Prix
BOT,2.0,HARD,18,Alfa Romeo,12.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,23.10688888888889,1.791383850202249,192.39096214054564,7.6105425863488145,243.61111111111111,11.921683740557647,43.0,2023,Bahrain Grand Prix
BOT,3.0,HARD,28,Alfa Romeo,12.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,21.540821428571427,1.7001994011957924,194.4843986715809,9.371772960461266,236.46428571428572,9.221411972984951,43.07142857142857,2023,Bahrain Grand Prix
DEV,1.0,SOFT,11,AlphaTauri,19.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,25.17109090909091,2.8487345022769,188.26935921552868,5.728853023354174,268.0,12.919330126174922,46.63636363636363,2023,Bahrain Grand Prix
DEV,2.0,HARD,16,AlphaTauri,19.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,21.761625000000002,2.630855490021258,192.4280980544607,8.872926214558525,250.9375,10.395123556264254,43.8125,2023,Bahrain Grand Prix
DEV,3.0,HARD,29,AlphaTauri,19.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,21.147241379310344,1.776441554599655,192.54622181638933,9.044599780587818,250.9655172413793,7.836619426947193,43.275862068965516,2023,Bahrain Grand Prix
GAS,1.0,SOFT,9,Alpine,20.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,22.622888888888887,1.8746228921183903,188.59316285497638,6.229766838327583,266.0,10.583005244258363,52.0,2023,Bahrain Grand Prix
GAS,2.0,HARD,16,Alpine,20.0,0 days 01:20:45.769863354,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961,20.194625000000002,1.7478394475394474,192.76617203237456,8.43085240330572,249.25,9.743587634952538,47.0,2023,Bahrain Grand Prix
